InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country,Revenue,Month
556882,82582,AREA PATROLLED METAL SIGN,6,2011-06-15 12:21:00,2.1,14395.0,United Kingdom,12.600000000000001,2011-06
580033,20713,JUMBO BAG OWLS,10,2011-12-01 12:18:00,2.08,14282.0,United Kingdom,20.8,2011-12
569943,20961,STRAWBERRY BATH SPONGE ,5,2011-10-06 18:08:00,1.25,14592.0,United Kingdom,6.25,2011-10
543300,47310M,"SMALL POP BOX,FUNKY MONKEY",3,2011-02-07 11:42:00,1.25,13334.0,United Kingdom,3.75,2011-02
536643,22634,CHILDS BREAKFAST SET SPACEBOY ,2,2010-12-02 11:57:00,9.95,14390.0,United Kingdom,19.9,2010-12
542006,22424,ENAMEL BREAD BIN CREAM,2,2011-01-25 11:20:00,12.75,15218.0,United Kingdom,25.5,2011-01
543535,82551,LAUNDRY 15C METAL SIGN,1,2011-02-09 13:37:00,1.45,17537.0,United Kingdom,1.45,2011-02
574149,84581,DOG TOY WITH PINK CROCHET SKIRT,4,2011-11-03 11:29:00,3.75,13709.0,United Kingdom,15.0,2011-11
574295,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,108,2011-11-03 15:47:00,3.75,17389.0,United Kingdom,405.0,2011-11
580982,20618,QUEEN OF THE SKIES PASSPORT COVER ,1,2011-12-06 16:21:00,2.1,17861.0,United Kingdom,2.1,2011-12
572862,21034,REX CASH+CARRY JUMBO SHOPPER,1,2011-10-26 12:48:00,0.95,16750.0,United Kingdom,0.95,2011-10
565149,37327,ASSTD MULTICOLOUR CIRCLES MUG,48,2011-09-01 14:13:00,0.39,14414.0,United Kingdom,18.72,2011-09
564434,85053,FRENCH ENAMEL CANDLEHOLDER,12,2011-08-25 11:59:00,2.1,14687.0,United Kingdom,25.200000000000003,2011-08
562984,22110,BIRD HOUSE HOT WATER BOTTLE,8,2011-08-11 11:45:00,2.55,17841.0,United Kingdom,20.4,2011-08
570685,72586,SET OF 6 HALLOWEEN GHOST T-LIGHTS,4,2011-10-11 16:25:00,0.42,13208.0,United Kingdom,1.68,2011-10
576809,22991,GIRAFFE WOODEN RULER,12,2011-11-16 14:20:00,1.95,14851.0,United Kingdom,23.4,2011-11
537192,20702,PINK PADDED MOBILE,1,2010-12-05 13:42:00,4.25,16402.0,United Kingdom,4.25,2010-12
563555,22204,MILK PAN BLUE POLKADOT,1,2011-08-17 13:21:00,3.75,16755.0,United Kingdom,3.75,2011-08
554131,22335,HEART DECORATION PAINTED ZINC ,24,2011-05-23 09:43:00,0.65,13988.0,United Kingdom,15.600000000000001,2011-05
575904,23084,RABBIT NIGHT LIGHT,9,2011-11-11 15:28:00,2.08,18014.0,United Kingdom,18.72,2011-11
536749,35271S,GOLD PRINT PAPER BAG,5,2010-12-02 13:49:00,0.19,17976.0,United Kingdom,0.95,2010-12
539957,21625,VINTAGE UNION JACK APRON,3,2010-12-23 12:58:00,6.95,12585.0,Germany,20.85,2010-12
549943,37340,MULTICOLOUR SPRING FLOWER MUG,6,2011-04-13 12:09:00,0.39,13544.0,United Kingdom,2.34,2011-04
542231,21355,TOAST ITS - I LOVE YOU ,10,2011-01-26 13:40:00,1.25,16714.0,United Kingdom,12.5,2011-01
566563,84536A,ENGLISH ROSE NOTEBOOK A7 SIZE,16,2011-09-13 12:22:00,0.42,12909.0,United Kingdom,6.72,2011-09
577774,23365,SET 12 COLOUR PENCILS LOVE LONDON,6,2011-11-21 15:57:00,0.65,16712.0,United Kingdom,3.9000000000000004,2011-11
541008,22087,PAPER BUNTING WHITE LACE,3,2011-01-13 10:48:00,2.95,17848.0,United Kingdom,8.850000000000001,2011-01
570027,23541,WALL ART CLASSIC PUDDINGS ,2,2011-10-07 10:41:00,8.25,14844.0,United Kingdom,16.5,2011-10
551001,21922,UNION STRIPE WITH FRINGE  HAMMOCK,12,2011-04-26 09:31:00,6.95,13408.0,United Kingdom,83.4,2011-04
571270,22571,ROCKING HORSE RED CHRISTMAS ,5,2011-10-16 12:09:00,0.85,12940.0,United Kingdom,4.25,2011-10
541485,22721,SET OF 3 CAKE TINS SKETCHBOOK,1,2011-01-18 13:05:00,4.95,18118.0,United Kingdom,4.95,2011-01
554820,22847,BREAD BIN DINER STYLE IVORY,2,2011-05-26 14:09:00,16.95,15622.0,United Kingdom,33.9,2011-05
553524,21175,GIN + TONIC DIET METAL SIGN,3,2011-05-17 14:46:00,2.55,15570.0,United Kingdom,7.6499999999999995,2011-05
574903,23469,CARD HOLDER LOVE BIRD SMALL,6,2011-11-07 15:27:00,4.15,17302.0,United Kingdom,24.900000000000002,2011-11
566123,71053,WHITE METAL LANTERN,24,2011-09-09 11:15:00,3.39,15039.0,United Kingdom,81.36,2011-09
556017,21507,"ELEPHANT, BIRTHDAY CARD, ",12,2011-06-08 11:56:00,0.42,15382.0,United Kingdom,5.04,2011-06
574939,84581,DOG TOY WITH PINK CROCHET SKIRT,1,2011-11-07 17:16:00,3.75,17109.0,United Kingdom,3.75,2011-11
550925,48194,DOORMAT HEARTS,2,2011-04-21 14:37:00,7.95,17061.0,United Kingdom,15.9,2011-04
565416,21080,SET/20 RED RETROSPOT PAPER NAPKINS ,12,2011-09-04 12:00:00,0.85,12710.0,Germany,10.2,2011-09
541569,22431,WATERING CAN BLUE ELEPHANT,12,2011-01-19 12:14:00,1.95,13520.0,Switzerland,23.4,2011-01
562783,23148,MINIATURE ANTIQUE ROSE HOOK IVORY,12,2011-08-09 13:22:00,0.83,13018.0,United Kingdom,9.959999999999999,2011-08
572652,22411,JUMBO SHOPPER VINTAGE RED PAISLEY,10,2011-10-25 12:11:00,2.08,15805.0,United Kingdom,20.8,2011-10
558995,22726,ALARM CLOCK BAKELIKE GREEN,8,2011-07-05 12:03:00,3.75,17671.0,United Kingdom,30.0,2011-07
577484,22578,WOODEN STAR CHRISTMAS SCANDINAVIAN,40,2011-11-20 11:52:00,0.29,13536.0,United Kingdom,11.6,2011-11
537262,21976,PACK OF 60 MUSHROOM CAKE CASES,3,2010-12-06 11:26:00,0.55,15039.0,United Kingdom,1.6500000000000001,2010-12
564141,22113,GREY HEART HOT WATER BOTTLE,3,2011-08-23 11:47:00,3.75,17841.0,United Kingdom,11.25,2011-08
